iter,elapsed_s,best_obj,curr_obj,alpha,selected_orders,gap_abs,gap_pct
173,0.553,26489,26217,0.5,88,690,2.539
174,0.553,26489,25017,0.2,88,690,2.539
175,0.553,26489,25409,0.5,87,690,2.539
176,0.557,26489,25213,0.05,88,690,2.539
177,0.557,26489,25302,0.1,88,690,2.539
178,0.557,26489,24401,0.1,87,690,2.539
179,0.557,26489,24564,0.1,87,690,2.539
180,0.566,26489,24590,0.35,88,690,2.539
181,0.566,26489,25306,0.05,88,690,2.539
182,0.566,26489,25352,0.2,88,690,2.539
183,0.57,26489,24896,0.05,88,690,2.539
184,0.57,26489,25353,0.35,87,690,2.539
185,0.57,26489,24671,0.1,88,690,2.539
186,0.57,26489,25174,0.2,88,690,2.539
187,0.57,26489,25062,0.1,88,690,2.539
188,0.57,26489,25959,0.35,88,690,2.539
189,0.57,26489,25073,0.35,87,690,2.539
190,0.57,26489,25611,0.1,88,690,2.539
191,0.57,26489,24701,0.1,88,690,2.539
192,0.58,26489,25761,0.35,88,690,2.539
193,0.582,26489,25303,0.5,88,690,2.539
194,0.584,26489,25506,0.5,87,690,2.539
195,0.584,26489,24263,0.1,87,690,2.539
196,0.584,26489,25835,0.05,88,690,2.539
197,0.584,26489,25005,0.2,88,690,2.539
198,0.584,26489,25483,0.05,87,690,2.539
199,0.584,26489,25652,0.05,88,690,2.539
200,0.584,26489,25120,0.35,88,690,2.539
201,0.584,26489,25680,0.35,88,690,2.539
202,0.584,26489,24877,0.35,87,690,2.539
203,0.584,26489,24703,0.1,87,690,2.539
204,0.584,26489,24600,0.05,87,690,2.539
205,0.584,26489,25787,0.1,88,690,2.539
206,0.6,26489,24350,0.35,87,690,2.539
207,0.6,26489,24753,0.05,87,690,2.539
208,0.604,26489,24954,0.05,88,690,2.539
209,0.606,26489,25518,0.35,87,690,2.539
210,0.606,26489,25827,0.2,87,690,2.539
211,0.608,26489,24399,0.1,87,690,2.539
212,0.608,26489,25260,0.5,88,690,2.539
213,0.61,26489,24908,0.2,88,690,2.539
214,0.612,26489,25549,0.1,88,690,2.539
215,0.613,26489,24890,0.2,88,690,2.539
216,0.614,26489,25147,0.05,88,690,2.539
217,0.618,26489,25815,0.5,87,690,2.539
218,0.618,26489,25087,0.1,87,690,2.539
219,0.618,26489,24856,0.5,88,690,2.539
220,0.618,26489,25071,0.05,88,690,2.539
221,0.618,26489,24828,0.2,88,690,2.539
222,0.618,26489,25963,0.05,88,690,2.539
223,0.618,26489,26059,0.2,88,690,2.539
224,0.626,26489,25092,0.5,88,690,2.539
225,0.627,26489,26115,0.35,87,690,2.539
226,0.627,26489,25407,0.5,88,690,2.539
227,0.63,26489,24880,0.35,87,690,2.539
228,0.631,26489,24619,0.1,88,690,2.539
229,0.631,26489,25432,0.1,88,690,2.539
230,0.634,26489,24646,0.5,87,690,2.539
231,0.635,26489,24872,0.05,88,690,2.539
232,0.635,26489,24403,0.2,88,690,2.539
