iter,elapsed_s,best_obj,gap_abs,gap_pct,p_alpha_0.05,p_alpha_0.1,p_alpha_0.2,p_alpha_0.35,p_alpha_0.5
103,0.451,26353,826,3.039,0.1993,0.200384,0.198244,0.199876,0.202196
104,0.453,26353,826,3.039,0.199291,0.200376,0.198235,0.199868,0.20223
105,0.453,26353,826,3.039,0.199345,0.200363,0.198222,0.199855,0.202216
106,0.455,26353,826,3.039,0.199364,0.200382,0.198145,0.199874,0.202235
107,0.457,26353,826,3.039,0.19935,0.200368,0.198199,0.19986,0.202222
108,0.457,26353,826,3.039,0.199362,0.20038,0.19821,0.199815,0.202233
109,0.457,26353,826,3.039,0.199389,0.200373,0.198203,0.199808,0.202226
110,0.457,26353,826,3.039,0.199331,0.200314,0.198145,0.19975,0.202459
111,0.462,26353,826,3.039,0.199276,0.200259,0.19809,0.199972,0.202403
112,0.464,26353,826,3.039,0.199226,0.200209,0.198041,0.200173,0.202352
113,0.465,26353,826,3.039,0.199185,0.200168,0.198,0.200132,0.202515
114,0.468,26353,826,3.039,0.19918,0.200163,0.198019,0.200127,0.20251
115,0.468,26353,826,3.039,0.19917,0.200153,0.19806,0.200117,0.2025
116,0.468,26353,826,3.039,0.199184,0.200096,0.198074,0.200132,0.202515
117,0.471,26353,826,3.039,0.199159,0.20007,0.198048,0.200106,0.202618
118,0.471,26353,826,3.039,0.19907,0.200092,0.19807,0.200128,0.20264
119,0.471,26353,826,3.039,0.199063,0.200085,0.198063,0.200156,0.202633
120,0.471,26353,826,3.039,0.19902,0.200096,0.198073,0.200167,0.202644
121,0.471,26353,826,3.039,0.199079,0.200081,0.198059,0.200152,0.202629
122,0.471,26353,826,3.039,0.199043,0.200045,0.198023,0.200296,0.202593
123,0.478,26353,826,3.039,0.199052,0.200055,0.198033,0.200258,0.202602
124,0.48,26353,826,3.039,0.198977,0.200074,0.198052,0.200277,0.202622
125,0.482,26353,826,3.039,0.19896,0.200057,0.198035,0.200345,0.202604
126,0.482,26353,826,3.039,0.198944,0.200041,0.198097,0.200329,0.202589
127,0.484,26353,826,3.039,0.198992,0.200089,0.198144,0.200377,0.202398
128,0.486,26353,826,3.039,0.198969,0.200095,0.19815,0.200383,0.202404
129,0.486,26353,826,3.039,0.198978,0.200104,0.198158,0.200348,0.202413
130,0.486,26353,826,3.039,0.198938,0.200064,0.198318,0.200308,0.202372
131,0.492,26353,826,3.039,0.198943,0.200069,0.198298,0.200313,0.202377
132,0.492,26353,826,3.039,0.198922,0.200048,0.198278,0.200395,0.202357
133,0.492,26353,826,3.039,0.19898,0.200106,0.198336,0.200453,0.202125
134,0.492,26353,826,3.039,0.199021,0.200147,0.198172,0.200494,0.202166
135,0.497,26353,826,3.039,0.199015,0.200149,0.198174,0.200496,0.202167
136,0.498,26353,826,3.039,0.199,0.200134,0.198231,0.200481,0.202153
137,0.501,26353,826,3.039,0.199029,0.200163,0.19826,0.200511,0.202037
138,0.501,26353,826,3.039,0.199006,0.200139,0.198236,0.200487,0.202132
139,0.503,26353,826,3.039,0.198992,0.200194,0.198223,0.200473,0.202118
140,0.505,26353,826,3.039,0.198953,0.200351,0.198184,0.200434,0.202079
141,0.505,26353,826,3.039,0.198944,0.200343,0.198175,0.200425,0.202113
